id,label,timeset,users_can_post,link,category,username,talking_about_count,post_activity,fan_count,modularity_class,pageranks
11064156953,Samuel L. Jackson,,yes,https://www.facebook.com/samuelljackson/,Actor,samuelljackson,19494,0.33,3785895,4,3.479942379810878E-4
222948068022,Texas Lifestyle Magazine,,no,https://www.facebook.com/TexasLifestyleMagazine/,Magazine,TexasLifestyleMagazine,35,0.08,6691,4,3.479942379810878E-4
199769166824466,Battle In Distress,,no,https://www.facebook.com/BattleInDistress/,Nonprofit Organization,BattleInDistress,1799,0.05,83964,2,0.001947952764446281
406433779383,Dwayne The Rock Johnson,,no,https://www.facebook.com/DwayneJohnson/,Public Figure,DwayneJohnson,530122,0.05,58349653,4,0.0011582201082637514
264641617269,Hickok45,,no,https://www.facebook.com/Hickok45-264641617269/,Public Figure,,9431,0.03,557579,4,6.19265206845475E-4
1375257112710970,T.REX ARMS,,no,https://www.facebook.com/trexarmskydex/,Shopping & Retail,trexarmskydex,3827,0.08,63767,4,3.479942379810878E-4
269478890037,Barrett,,yes,https://www.facebook.com/barrett.net/,Company,barrett.net,264,0.02,132736,4,8.057784007118505E-4
151162256531,Mark Wahlberg,,no,https://www.facebook.com/markwahlberg/,Artist,markwahlberg,61080,0.02,17618920,4,3.479942379810878E-4
103509519705776,Gary Sinise,,yes,https://www.facebook.com/garysinise/,Artist,garysinise,15647,0.02,938183,4,8.268177657748069E-4
200640669947740,Military Arms Channel,,yes,https://www.facebook.com/militaryarms/,Public Figure,militaryarms,3444,0.12,370123,4,0.0014970038953188262
151692211589133,Boone Cutler,,yes,https://www.facebook.com/BooneCutlerWarfighter/,Public Figure,BooneCutlerWarfighter,11788,1.46,36331,2,0.0018267966998431757
123045214697755,Throwing Bombs In Baghdad,,yes,https://www.facebook.com/throwingbombsinbaghdad/,Movie,throwingbombsinbaghdad,1,0.0,6993,4,3.968122932665559E-4
547232805404763,Terminal Boots,,yes,https://www.facebook.com/TheTerminalBoots/,Entertainment Website,TheTerminalBoots,959,0.01,59391,6,4.659286016565536E-4
514975515333796,The Juggernaut,,yes,https://www.facebook.com/Juggernauthood/,Athlete,Juggernauthood,2,0.01,1409,4,3.479942379810878E-4
17533674381,Ronda Rousey,,no,https://www.facebook.com/ronda.cips/,Athlete,ronda.cips,12995,0.01,11330456,4,4.1360504643531056E-4
1465701377009820,"America, Hell Yeah",,yes,https://www.facebook.com/AmericaHeckYeah/,Website,AmericaHeckYeah,89690,0.13,1034315,4,6.915433997720107E-4
177103589083580,Eden Rose - Lil Red Danger,,no,https://www.facebook.com/LilRedDanger/,Public Figure,LilRedDanger,25822,0.13,321086,4,0.0010806423594081583
214307671955070,Guns Save Lives,,no,https://www.facebook.com/GunsSaveLives.net/,News & Media Website,GunsSaveLives.net,19582,0.1,519022,4,7.097740816084097E-4
247110128685606,Dysfunctional Veterans,,yes,https://www.facebook.com/DysfunctionalVeterans/,Non-Governmental Organization (NGO),DysfunctionalVeterans,756482,11.54,1191476,4,0.001659973677515053
333255700020232,95 WIIL ROCK Morning Show,,yes,https://www.facebook.com/95WIILROCKMorningShow/,Radio Station,95WIILROCKMorningShow,1688,0.15,50196,4,3.479942379810878E-4
91575240527,Jacob Leinenkugel Brewing Co.,,yes,https://www.facebook.com/Leinenkugels/,Brewery,Leinenkugels,2118,0.07,285167,4,4.958922820426543E-4
127846500638848,Madison Rising,,yes,https://www.facebook.com/madisonrising/,Musician/Band,madisonrising,13519,0.06,232428,4,5.193824290186609E-4
191924614161276,Ms Clayton,,yes,https://www.facebook.com/msclaytonfans/,Public Figure,msclaytonfans,79151,0.06,3374295,4,3.479942379810878E-4
285166268241861,Southern Pine Woodworking,,yes,https://www.facebook.com/SouthernPineWoodworking/,Product/Service,SouthernPineWoodworking,3255,0.01,285955,4,3.479942379810878E-4
107553225946092,Flex Magazine,,no,https://www.facebook.com/flexmagazine/,Magazine,flexmagazine,20413,0.72,2687655,4,6.052091290608531E-4
160858657676,Muscle & Fitness,,yes,https://www.facebook.com/MuscleandFitnessMag/,Magazine,MuscleandFitnessMag,52397,1.93,7102999,4,6.052091290608531E-4
585530551505856,All Warrior Network,,yes,https://www.facebook.com/allwarriornetwork/,Media/News Company,allwarriornetwork,10612,0.1,247251,2,0.001320946826340932
